movieCd,rank,audiAcc,movieNm,movieNmEn,openDt,genre1,genre2,genre3,audits,image_url,userRating,link
20199951,8,459037,애나벨 집으로,Annabelle Comes Home,20190626.0,공포(호러),미스터리,스릴러,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1838/183850_P16_113434.jpg,6.25,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183850
20196655,9,913444,존 윅 3: 파라벨룸,John Wick: Chapter 3 - parabellum,20190626.0,액션,범죄,스릴러,청소년관람불가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1816/181698_P38_102749.jpg,8.04,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181698
20198453,7,1076594,롱 리브 더 킹: 목포 영웅,Long Live the King,20190619.0,액션,드라마,스릴러,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1791/179125_P44_162751.jpg,7.57,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179125
20190273,8,228366,천로역정: 천국을 찾아서,The Pilgrim's Progress,20190613.0,애니메이션,어드벤처,스릴러,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1838/183836_P33_161902.jpg,8.72,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183836
20182585,9,199009,비스트,The Beast,20190626.0,범죄,스릴러,스릴러,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1798/179875_P37_142918.jpg,5.21,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179875
20192591,10,25000,BIFAN2019 판타스틱 단편 걸작선 1,Fantastic Short Films 1,,기타,스릴러,스릴러,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1836/183666_P01_135734.jpg,0.0,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183666
20192022,9,37437,마담 싸이코,Greta,20190626.0,공포(호러),스릴러,스릴러,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167633_P18_100754.jpg,6.79,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167633
20196657,10,843703,맨 인 블랙: 인터내셔널,Men in Black: International,20190612.0,액션,코미디,SF,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/0976/97631_P49_094859.jpg,5.12,https://movie.naver.com/movie/bi/mi/basic.nhn?code=97631
20190885,8,46546,사탄의 인형,Child's Play,20190620.0,공포(호러),코미디,SF,청소년관람불가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1838/183820_P08_141424.jpg,6.75,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183820
20182387,9,861032,엑스맨: 다크 피닉스,X-MEN: DARK PHOENIX,20190605.0,액션,어드벤처,SF,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164125_P65_143635.jpg,5.99,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164125
20190466,10,31379,세상을 바꾼 변호인,ON THE BASIS OF SEX,20190613.0,드라마,어드벤처,SF,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1378/137865_P17_113027.jpg,8.9,https://movie.naver.com/movie/bi/mi/basic.nhn?code=137865
19880001,6,142372,이웃집 토토로,My Neighbor Totoro,20010728.0,애니메이션,드라마,SF,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/0187/18781_P40_110031.jpg,9.26,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18781
20191401,7,30244,업사이드,The Upside,20190613.0,코미디,드라마,SF,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1670/167053_P13_111013.jpg,8.62,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167053
20198291,8,98703,로켓맨,Rocketman,20190605.0,드라마,판타지,SF,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1817/181704_P35_105923.jpg,8.06,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181704
20184889,10,13887813,어벤져스: 엔드게임,Avengers: Endgame,20190424.0,액션,SF,SF,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1369/136900_P57_104126.jpg,9.38,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136900
20188941,6,3346654,악인전,"The Gangster, The Cop, The Devil",20190515.0,범죄,액션,SF,청소년관람불가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1779/177967_P50_114447.jpg,7.89,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177967
20184865,7,352862,고질라: 킹 오브 몬스터,Godzilla: King of the Monsters,20190529.0,액션,어드벤처,SF,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1373/137327_P17_171853.jpg,6.94,https://movie.naver.com/movie/bi/mi/basic.nhn?code=137327
20199063,8,44189,빅샤크2: 해저2만리,Happy Little Submarine : 20000 Leagues under the Sea,20190606.0,애니메이션,어드벤처,SF,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1838/183870_P25_095540.jpg,7.96,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183870
20188144,10,133522,0.0MHz,0.0MHz,20190529.0,공포(호러),어드벤처,SF,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1773/177371_P20_114332.jpg,5.01,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177371
20184082,7,1618601,걸캅스,Miss & Mrs. Cops,20190509.0,코미디,액션,SF,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1868/186899_P01_111320.jpg,7.0,https://movie.naver.com/movie/bi/mi/basic.nhn?code=186899
